[GIN] 2018/01/08 - 08:40:55 | 404 |            0s |             ::1 | GET      /login.html
[GIN] 2018/01/08 - 08:40:55 | 404 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2018/01/08 - 08:41:01 | 404 |            0s |             ::1 | GET      /
[GIN] 2018/01/08 - 08:41:16 | 404 |            0s |             ::1 | GET      /
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /
[GIN] 2018/01/08 - 08:41:17 | 404 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2018/01/08 - 08:41:18 | 404 |            0s |             ::1 | GET      /
[GIN] 2018/01/08 - 08:41:18 | 404 |            0s |             ::1 | GET      /favicon.ico
[GIN] 2018/01/08 - 08:41:25 | 404 |            0s |             ::1 | GET      /
[GIN] 2018/01/08 - 08:41:25 | 404 |            0s |             ::1 | GET      /favicon.ico
